Cbc0010I After 44300 nodes, 11389 on tree, 458 best solution, best possible 122.01497 (19553.42 seconds)
Cbc0010I After 44400 nodes, 11394 on tree, 458 best solution, best possible 122.01497 (19578.87 seconds)
Cbc0010I After 44500 nodes, 11389 on tree, 458 best solution, best possible 122.01497 (19594.21 seconds)
Cbc0010I After 44600 nodes, 11392 on tree, 458 best solution, best possible 122.01497 (19616.46 seconds)
Cbc0010I After 44700 nodes, 11388 on tree, 458 best solution, best possible 122.01497 (19640.36 seconds)
Cbc0010I After 44800 nodes, 11392 on tree, 458 best solution, best possible 122.01497 (19668.35 seconds)
Cbc0010I After 44900 nodes, 11395 on tree, 458 best solution, best possible 122.01497 (19688.00 seconds)
Cbc0010I After 45000 nodes, 11393 on tree, 458 best solution, best possible 122.01497 (19708.80 seconds)
Cbc0004I Integer solution of 444 found after 125359714 iterations and 45059 nodes (19727.25 seconds)
Cbc0010I After 45100 nodes, 11439 on tree, 444 best solution, best possible 122.01497 (19744.87 seconds)
Cbc0010I After 45200 nodes, 11489 on tree, 444 best solution, best possible 122.01497 (19795.75 seconds)
Cbc0010I After 45300 nodes, 11538 on tree, 444 best solution, best possible 122.01497 (19846.39 seconds)
Cbc0010I After 45400 nodes, 11588 on tree, 444 best solution, best possible 122.01497 (19893.45 seconds)
Cbc0010I After 45500 nodes, 11638 on tree, 444 best solution, best possible 122.01497 (19939.12 seconds)
Cbc0010I After 45600 nodes, 11687 on tree, 444 best solution, best possible 122.01497 (19991.04 seconds)
Cbc0010I After 45700 nodes, 11737 on tree, 444 best solution, best possible 122.01497 (20040.06 seconds)
Cbc0010I After 45800 nodes, 11787 on tree, 444 best solution, best possible 122.01497 (20090.40 seconds)
Cbc0010I After 45900 nodes, 11836 on tree, 444 best solution, best possible 122.01497 (20142.14 seconds)
Cbc0010I After 46000 nodes, 11886 on tree, 444 best solution, best possible 122.01497 (20197.17 seconds)
Cbc0010I After 46100 nodes, 11883 on tree, 444 best solution, best possible 122.01497 (20214.24 seconds)
Cbc0010I After 46200 nodes, 11879 on tree, 444 best solution, best possible 122.01497 (20238.83 seconds)
Cbc0010I After 46300 nodes, 11878 on tree, 444 best solution, best possible 122.01497 (20258.77 seconds)
Cbc0010I After 46400 nodes, 11876 on tree, 444 best solution, best possible 122.01497 (20286.53 seconds)
Cbc0010I After 46500 nodes, 11873 on tree, 444 best solution, best possible 122.01497 (20316.72 seconds)
Cbc0010I After 46600 nodes, 11874 on tree, 444 best solution, best possible 122.01497 (20335.75 seconds)
Cbc0010I After 46700 nodes, 11870 on tree, 444 best solution, best possible 122.01497 (20357.39 seconds)
Cbc0038I Full problem 20945 rows 37129 columns, reduced to 5169 rows 6275 columns
Cbc0010I After 46800 nodes, 11863 on tree, 444 best solution, best possible 122.01497 (20379.92 seconds)
Cbc0010I After 46900 nodes, 11863 on tree, 444 best solution, best possible 122.01497 (20406.07 seconds)
Cbc0010I After 47000 nodes, 11861 on tree, 444 best solution, best possible 122.01497 (20422.98 seconds)
Cbc0010I After 47100 nodes, 11863 on tree, 444 best solution, best possible 122.01497 (20438.43 seconds)
Cbc0010I After 47200 nodes, 11862 on tree, 444 best solution, best possible 122.01497 (20451.84 seconds)
Cbc0010I After 47300 nodes, 11863 on tree, 444 best solution, best possible 122.01497 (20471.85 seconds)
Cbc0010I After 47400 nodes, 11867 on tree, 444 best solution, best possible 122.01497 (20485.71 seconds)
Cbc0004I Integer solution of 409 found after 131163524 iterations and 47472 nodes (20495.01 seconds)
